Year,0,1,2,3,4,5,6
1363,ADDRESS,COL1,COL3,COL4,COL5,,
1364,ADDRESS,COL1,COL3,COL4,COL5,,
1365,ADDRESS,COL1,COL3,COL4,COL5,,
1366,ADDRESS,COL1,COL3,COL4,COL5,,
1367,ADDRESS,COL1,COL3,COL4,COL5,,
1368,ADDRESS,COL1,COL3,COL4,COL5,,
1369,ADDRESS,COL1,COL3,COL4,COL5,COL6,
1370,ADDRESS,COL1,COL3,COL4,COL5,COL6,
1371,ADDRESS,COL1,COL3,COL4,COL5,COL6,
1372,ADDRESS,COL1,COL3,COL4,COL5,COL6,
1373,ADDRESS,COL1,COL3,COL4,COL5,COL6,
1374,ADDRESS,COL1,COL3,COL4,COL5,,
1375,ADDRESS,COL1,COL3,COL4,COL5,,
1376,ADDRESS,COL1,COL3,COL4,COL5,,
1377,ADDRESS,COL1,COL3,COL4,COL5,,
1378,ADDRESS,COL1,COL3,COL4,COL5,,
1379,ADDRESS,COL1,COL3,COL4,COL5,,
1380,ADDRESS,COL1,COL3,COL4,COL5,,
1381,ADDRESS,COL1,COL3,COL4,COL5,,
1382,ADDRESS,COL1,COL3,COL4,COL5,,
1383,ADDRESS,COL1,COL3,COL4,COL5,,
1384,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,
1385,ADDRESS,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,
1386,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,
1387,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,
1388,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1389,address,dycol01,dycol02,dycol03,dycol04,dycol05,dycol06
1390,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1391,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1392,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1393,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1394,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1395,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1396,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1397,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1398,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1399,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1400,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
1401,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06
